Time(ns),Calculated Values(V1),Calculated Values(V2)
1.236000,2.260666,2.714625,
1.238000,2.260387,2.714952,
1.240000,2.260108,2.715280,
1.242000,2.259830,2.715608,
1.244000,2.259552,2.715935,
1.246000,2.259275,2.716263,
1.248000,2.258997,2.716590,
1.250000,2.258721,2.716918,
1.252000,2.258444,2.717245,
1.254000,2.258168,2.717572,
1.256000,2.257892,2.717900,
1.258000,2.257616,2.718227,
1.260000,2.257341,2.718554,
1.262000,2.257066,2.718881,
1.264000,2.256792,2.719208,
1.266000,2.256517,2.719535,
1.268000,2.256243,2.719862,
1.270000,2.255970,2.720189,
1.272000,2.255697,2.720515,
1.274000,2.255424,2.720842,
1.276000,2.255151,2.721169,
1.278000,2.254879,2.721495,
1.280000,2.254607,2.721822,
1.282000,2.254336,2.722148,
1.284000,2.254064,2.722474,
1.286000,2.253793,2.722801,
1.288000,2.253523,2.723127,
1.290000,2.253253,2.723453,
1.292000,2.252983,2.723779,
1.294000,2.252713,2.724105,
1.296000,2.252444,2.724431,
1.298000,2.252175,2.724757,
1.300000,2.251907,2.725083,
1.302000,2.251638,2.725409,
1.304000,2.251370,2.725735,
1.306000,2.251103,2.726060,
1.308000,2.250836,2.726386,
1.310000,2.250569,2.726712,
1.312000,2.250302,2.727037,
1.314000,2.250036,2.727362,
1.316000,2.249770,2.727688,
1.318000,2.249505,2.728013,
1.320000,2.249239,2.728338,
1.322000,2.248975,2.728664,
1.324000,2.248710,2.728989,
1.326000,2.248446,2.729314,
1.328000,2.248182,2.729639,
1.330000,2.247918,2.729964,
1.332000,2.247655,2.730289,
1.334000,2.247392,2.730613,
1.336000,2.247130,2.730938,
1.338000,2.246868,2.731263,
1.340000,2.246606,2.731588,
1.342000,2.246344,2.731912,
1.344000,2.246083,2.732237,
1.346000,2.245822,2.732561,
1.348000,2.245561,2.732885,
1.350000,2.245301,2.733210,
1.352000,2.245041,2.733534,
1.354000,2.244782,2.733858,
1.356000,2.244522,2.734182,
1.358000,2.244264,2.734507,
1.360000,2.244005,2.734831,
1.362000,2.243747,2.735154,
1.364000,2.243489,2.735478,
1.366000,2.243231,2.735802,
1.368000,2.242974,2.736126,
1.370000,2.242717,2.736450,
1.372000,2.242461,2.736773,
1.374000,2.242204,2.737097,
1.376000,2.241948,2.737420,
1.378000,2.241693,2.737744,
1.380000,2.241438,2.738067,
1.382000,2.241183,2.738391,
1.384000,2.240928,2.738714,
1.386000,2.240674,2.739037,
1.388000,2.240420,2.739360,
1.390000,2.240166,2.739683,
1.392000,2.239913,2.740006,
1.394000,2.239660,2.740329,
1.396000,2.239407,2.740652,
1.398000,2.239155,2.740975,
1.400000,2.238903,2.741298,
1.402000,2.238652,2.741621,
1.404000,2.238400,2.741943,
1.406000,2.238149,2.742266,
